id,created,modified,desc,measure,available_quantity,bonus,active,new_price,old_price,desc_en,desc_kr,desc_ru,desc_uz,weight,product_type,main
195,2024-03-23 17:06:27.165081+00,2026-01-28 11:33:11.630603+00,"",1,1000,0,t,2900,3200,"","","","",0.5,85de39dc-5d09-4c3a-96cf-d6884c2e6b2c,t
141,2024-03-16 15:55:04.300338+00,2026-01-28 08:24:59.53556+00,"",1,100,0,t,7490,8500,"","","","",1,a17435f2-5e67-4631-adaf-a0509a533db6,t
88,2024-03-06 15:58:39.829622+00,2026-01-25 05:01:45.262235+00,"",1,1000,0,t,4000,5000,"","","","",1,55519e75-a47a-4558-9704-abeba2f68ce1,t
97,2024-03-07 17:38:27.150699+00,2026-01-25 05:04:57.367617+00,"",1,100,0,t,6500,8000,"","","","",1.5,74eb3c46-2fe8-4b5a-9f03-50cc7c55370b,t
115,2024-03-16 03:11:50.820777+00,2026-01-26 06:35:43.48992+00,"",1,99,0,t,2400,4000,"","","","",1.3,6ac9c687-38bf-409a-9b13-71ac44dceedb,t
144,2024-03-16 16:34:43.292233+00,2026-01-28 08:28:51.840432+00,"",1,1000,0,t,2900,3200,"","","","",0.2,dd66006f-3e88-44f8-8f41-9e426f746cde,t
184,2024-03-18 18:12:04.216968+00,2026-01-28 09:24:32.323231+00,"",1,2540,0,t,3800,4500,"","","","",2.5,0431c59d-060c-40ec-b78a-7d996e8eac4e,t
105,2024-03-15 14:46:02.353288+00,2026-01-25 05:07:26.927678+00,"",1,1000,0,t,13900,15000,"","","","",0.6,2bebe38e-a851-40f5-9231-965494e42f89,t
128,2024-03-16 03:40:47.187651+00,2026-01-26 06:44:11.459698+00,"",1,1000,0,t,3490,3900,"","","","",1.3,7b4804d3-41c4-4eb9-9ef5-2a1500182798,t
53,2024-03-05 17:17:05.094817+00,2026-01-25 04:51:11.515542+00,"",3,1000,0,t,2700,3000,"","","","",0.4,be9c989b-f6ed-4d12-a92d-88df7755f8f8,t
82,2024-03-06 14:26:07.999654+00,2025-12-26 07:29:45.200511+00,"",1,997,0,f,7500,8500,"","","","",0.3,fca2a478-ed60-4e69-ba65-92578d346266,t
